型式,クローズ,多軸,MINA,MINB,MAXA,MAXB,歯数,,,,,傾きH,傾きW,,
RTT-210,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-210
RTT-211,,,,0,,10,,,,,,3,5,,RTT-211
RTT-212,,,,0,,10,,,,,,3,5,,RTT-212
RTT-213,,,-1,36,-1.3,80,,,,,,3,5,,RTT-213
RTT-215,,,-1,36,-1.3,80,,,,,,3,5,,RTT-215
RTT-301,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-301
RTT-302,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-302
RTT-303,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-303
RTT-304,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-304
RTT-305,,,,0,,10,,,,,,3,5,,RTT-305
RTT-306,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-306
RTT-307,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-307
RTT-308,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-308
RTT-309,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-309
RTT-311,,,,5,,15,,,,,,3,5,,RTT-311
RTT-312,,,,5,,15,,,,,,3,5,,RTT-312
RTT-315,,,,5,,15,,,,,,3,5,,RTT-315
RTT-318,,,,5,,15,,,,,,3,5,,RTT-318
RTT-401,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-401
RTT-402,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-402
RTT-403,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-403
RTT-404,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-404
RTT-405,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-405
RTT-408,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-408
RTT-409,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-409
RTT-410,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-410
RTT-411,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-411
RTT-412,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-412
RTT-413,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-413
RTT-414,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-414
RTT-415,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-415
RTT-416,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-416
RTT-417,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-417
RTT-418,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-418
RTT-419,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-419
RTT-420,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-420
RTT-421,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-421
RTT-422,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-422
RTT-423,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-423
RTT-424,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-424
RTT-425,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-425
RTT-426,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-426
RTT-427,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-427
RTT-428,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-428
RTT-429,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-429
RTT-430,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-430
RTT-431,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-431
RTT-432,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-432
RTT-433,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-433
RTT-434,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-434
RTT-435,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-435
RTT-436,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-436
RTT-437,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-437
RTT-438,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-438
RTT-439,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-439
RTT-440,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-440
RTT-441,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-441
RTT-442,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-442
RTT-443,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-443
RTT-444,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-444
RTT-445,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-445
RTT-446,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-446
RTT-447,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-447
RTT-448,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-448
RTT-449,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-449
RTT-450,,,-0.4,29,-1.18,73.5,,,,,,4,7,,RTT-450
RTT-451,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-451
RTT-452,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-452
RTT-453,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-453
RTT-454,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-454
RTT-455,,,-0.4,29,-1.18,73.5,,,,,,4,7,,RTT-455
RTT-456,,,,0,,10,,,,,,3,5,,RTT-456
RTT-457,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-457
RTT-459,,,-0.6,24,-1.75,80,72,1.75,5.498,5.348,150,3,5,,RTT-459
RTT-501,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-501
RTT-502,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-502
RTT-504,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-504
RTT-505,,,,0,,10,,,,,,3,5,,RTT-505
RTT-506,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-506
RTT-507,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-507
RTT-509,,,,0,,10,,,,,,3,5,,RTT-509
RTT-510,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-510
RTT-511,,,-0.6,24,-1.5,75,,,,,,3,5,,RTT-511
RTT-601,,,-0.6,23,-1.5,65,,,,,,3,5,,RTT-601
RTT-602,,,-0.6,23,-1.5,65,,,,,,3,5,,RTT-602
RTT-603,,,,0,,10,,,,,,3,5,,RTT-603
RTT-802,,,,7,,30,,,,,,3,5,,RTT-802
RTV-101,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-101
RTV-106,,,,0,,10,,,,,,3,5,,RTV-106
RTV-107,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-107
RTV-108,,,,0,,40,,,,,,3,5,,RTV-108
RTV-109,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-109
RTV-111,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-111
RTV-112,,,,0,,10,,,,,,3,5,,RTV-112
RTV-113,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-113
RTV-114,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-114
RTV-115,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-115
RTV-116,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-116
RTV-117,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-117
RTV-118,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-118
RTV-119,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-119
RTV-120,,,,0,,10,,,,,,3,5,,RTV-120
RTV-121,,,-0.6,24,-0.625,80,,,,,,3,5,,RTV-121
RTV-122,,,-0.6,24,-1.3,80,,,,,,4,7,,RTV-122
RTV-150,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-150
RTV-201,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-201
RTV-202,,,,0,,10,,,,,,3,5,,RTV-202
RTV-203,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-203
RTV-204,,,,0,,10,,,,,,3,5,,RTV-204
RTV-205,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-205
RTV-206,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-206
RTV-207,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-207
RTV-208,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-208
RTV-209,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-209
RTV-210,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-210
RTV-212,,,,0,,99,,,,,,3,5,,RTV-212
RTV-214,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-214
RTV-215,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-215
RTV-216,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-216
RTV-218,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-218
RTV-219,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-219
RTV-220,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-220
RTV-221,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-221
RTV-222,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-222
RTV-223,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-223
RTV-224,,,,0,,10,,,,,,3,5,,RTV-224
RTV-225,,,,5,,15,,,,,,3,5,,RTV-225
RTV-226,,,,5,,15,,,,,,3,5,,RTV-226
RTV-228,,,,5,,15,,,,,,3,5,,RTV-228
RTV-229,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-229
RTV-230,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-230
RTV-231,,,-0.6,24,-1.3,80,,,,,,3,5,,RTV-231
RTV-232,,,-0.6,24,-1.3,80,,,,,,4,7,,RTV-232
RTV-233,,,-0.6,24,-1.3,80,,,,,,4,7,,RTV-233
RTV-301,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-301
RTV-303,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-303
RTV-304,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-304
RTV-305,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-305
RTV-306,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-306
RTV-308,,,,0,,99,,,,,,3,5,,RTV-308
RTV-310,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-310
RTV-311,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-311
RTV-312,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-312
RTV-313,,,,5,,15,,,,,,3,5,,RTV-313
RTV-315,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-315
RTV-316,,,-0.6,24,-1.75,80,,,,,,3,5,,RTV-316
RTV-401,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-401
RTV-402,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-402
RTV-403,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-403
RTV-404,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-404
RTV-405,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-405
RTV-406,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-406
RTV-407,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-407
RTV-408,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-408
RTV-409,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-409
RTV-410,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-410
RTV-411,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-411
RTV-412,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-412
RTV-413,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-413
RTV-414,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-414
RTV-415,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-415
RTV-416,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-416
RTV-504,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-504
RTV-506,,,-0.6,24,-1.5,75,,,,,,3,5,,RTV-506
RTV-601,,,-0.6,23,-1.5,65,,,,,,3,5,,RTV-601
RTV-604,,,-0.6,23,-1.5,65,,,,,,3,5,,RTV-604
RTV-801,,,,7,,30,,,,,,3,5,,RTV-801
RTV-901,,,,7,,20,,,,,,3,5,,RTV-901
RTV-902,,,,7,,20,,,,,,3,5,,RTV-902
RTV-903,,,,7,,20,,,,,,3,5,,RTV-903
RTZ-101,,,,0,,10,,,,,,3,5,,RTZ-101
RTZ-202,,,-0.6,24,-1.75,80,,,,,,3,5,,RTZ-202
RTZ-206,,,,0,,10,,,,,,3,5,,RTZ-206
RTZ-302,,,,0,,99,,,,,,3,5,,RTZ-302
RTZ-801,,,,7,,30,,,,,,3,5,,RTZ-801
RTZ-802,,,,7,,30,,,,,,3,5,,RTZ-802
RU-251,,,-0.6,24,-1.7,80,,,,,,3,5,,RU-251
RU-301,,,-0.6,24,-1.75,80,72,1.75,5.498,5.348,150,3,5,,RU-301
RU-401,,,-0.6,24,-1.75,80,72,1.75,5.498,5.348,150,3,5,,RU-401
RU-501,,,-0.6,24,-1.5,75,,,,,,3,5,,RU-501
RUA-250,,,-0.6,23,-1.75,86,,,,,,3,5,,RUA-250
RUA-251,,,-0.6,23,-1.75,86,,,,,,3,5,,RUA-251
RUA-320,,,-0.6,23,-1.75,86,72,1.75,5.498,5.348,150,3,5,,RUA-320
RUA-321,,,-0.6,23,-1.75,86,,,,,,3,5,,RUA-321
RUA-400,,,-0.6,24,-1.75,80,72,1.75,5.498,5.348,150,3,5,,RUA-400
RUA-500,,,-0.6,24,-1.75,80,,,,,,3,5,,RUA-500
RW-160,,,-0.6,24,-1.3,80,,,,,,4,7,,RW-160
RW-200,,,-0.6,24,-1.3,80,,,,,,4,7,,RW-200
RW-250,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,250,4,7,,RW-250
RW-320,,,-0.6,24,-1.3,80,,,,,,4,7,,RW-320
RWA-160,,,-0.6,24,-1.3,80,,,,,,4,7,,RWA-160
RWA-200,,,-0.6,24,-1.3,80,,,,,,4,7,,RWA-200
RWA-250,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,250,4,7,,RWA-250
RWA-320,,,-0.6,24,-1.3,80,,,,,,4,7,,RWA-320
RWA-320,,,-0.6,24,-1.3,80,,,,,,4,7,,RWA-320
RWAS-250,,,-0.6,24,-1.3,80,,,,,,7,7,,RWAS-250
RWAS-320,,,-0.6,24,-1.3,80,,,,,,7,7,,RWAS-320
RWB-250,,,-0.6,23,-2,85,,,,,,3,5,,RWB-250
RWB-320,,,-0.6,23,-2,85,,,,,,3,5,,RWB-320
RWB-400,,,-0.6,23,-1.75,75,,,,,,3,5,,RWB-400
RWB-500,,,-0.6,24,-1.75,75,,,,,,3,5,,RWB-500
RWE-160,,,-0.6,24,-1.3,80,,,,,,4,7,,RWE-160
RWE-200,,,-0.6,24,-1.3,80,,,,,,4,7,,RWE-200
RWE-250,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,250,4,7,,RWE-250
RWE-320,,,-0.6,24,-1.3,80,,,,,,4,7,,RWE-320
RWU-320,,,-0.6,23,-1.75,86,72,1.75,5.498,5.348,150,3,5,,RWU-320
RWU-400,,,-0.6,24,-1.75,80,72,1.75,5.498,5.348,150,3,5,,RWU-400
RWU-500,,,-0.6,24,-1.75,80,,,,,,3,5,,RWU-500
RZ-160,,,-0.6,24,-1.3,80,,,,,,7,7,,RZ-160
RZ-161,,,-0.6,24,-1.3,80,,,,,,7,7,,RZ-161
RZ-200,,,-0.6,24,-1.3,80,,,,,,7,7,,RZ-200
RZ-201,,,-0.6,24,-1.3,80,,,,,,7,7,,RZ-201
TBS-130,,,,,,,,,,,,4,7,,TBS-130
TBS-130,,,,5,,15,,,,,,3,5,,TBS-130
TBS-160,,,,5,,15,,,,,,3,5,,TBS-160
TBS-250,,,,5,,15,,,,,,3,5,,TBS-250
THNC-251,,,-0.6,24,-2,85,,,,,,3,5,,THNC-251
THNC-301,,,-0.6,24,-2,85,,,,,,3,5,,THNC-301
TN-101,,,-0.6,24,-1.75,100,,,,,,4,7,,TN-101
TN-130,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-130
TN-131,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-131
TN-160,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-160
TN-160,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-160
TN-161,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-161
TN-161,,,-0.4,29,-1.1,87,,,,,,4,7,,TN-161
TN-200,,,-0.4,29,-1.1,87,,,,,,4,7,,TN-200
TN-201,,,-0.4,33,-1.18,91.1,,,,,,4,7,,TN-201
TN-320,,,-0.6,24,-1.3,80,,,,,,4,7,,TN-320
TN-450,,,,,,,,,,,,4,7,,TN-450
TND-130,,,,,,,,,,,,4,7,,TND-130
TND-160,,,,,,,,,,,,4,7,,TND-160
TRNC-151,,,,,,,,,,,,3,5,,TRNC-151
TRNC-201,,,,,,,,,,,,3,5,,TRNC-201
TRNC-301,,,-0.6,23,-2,85,,,,,,3,5,,TRNC-301
TRNCB-201,,,,,,,,,,,,3,5,,TRNCB-201
TRNCB-301,,,,,,,,,,,,3,5,,TRNCB-301
TT-200,,,,,,,,,,,,3,5,,TT-200
TT-300,,,,,,,,,,,,3,5,,TT-300
TT-500,,,,,,,,,,,,3,5,,TT-500
TTNC-101,,N,-0.6,24,-1.75,125,36,1.75,7.854,7.654,100,7,7,,TTNC-101N
TTNC-102,,,-0.6,24,-1.75,85,,,,,,4,7,,TTNC-102
TTNC-102,,N,-0.6,24,-1.75,85,,,,,,4,7,,TTNC-102N
TTNC-151,,N,-0.6,24,-1.1,87,,,,,,4,7,,TTNC-151N
TTNC-151,,N,-0.6,24,-2,85,,,,,,4,7,,TTNC-151N
TTNC-201,,N,-0.4,29,-1.1,72,,,,,,4,7,,TTNC-201N
TTNC-451,,,,,,,,,,,,4,7,,TTNC-451
TWA-100,,,-0.6,24,-1.75,100,,,,,,4,7,,TWA-100
TWS-130,,,-0.6,24,-1.3,80,,,,,,4,7,,TWS-130
TWA-130,,,-0.6,24,-1.3,80,,,,,,4,7,,TWA-130
TWS-160,,,-0.6,24,-1.3,80,,,,,,4,7,,TWS-160
TWA-160,,,-0.6,24,-1.3,80,,,,,,4,7,,TWA-160
TWA-200,,,-0.4,33,-1.18,91.1,,,,,,4,7,,TWA-200
TWM-100,,,-0.6,24,-1.75,100,,,,,,4,7,,TWM-100
TWM-160,,,-0.6,24,-1.3,80,60,,,,,4,7,,TWM-160
TWM-250,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,250,4,7,,TWM-250
RTH-427,,,-0.6,24,-1.7,80,,,,,,3,5,,RTH-427
RTT-219,,,,5,,15,,,,,,3,5,,
RTT-221,,,,5,,15,,,,,,3,5,,
RTV-241,,,-0.6,24,-1.3,80,,,,,,4,7,,
RTT-458,,,-0.6,24,-1.5,75,,,,,,3,5,,
RTTR-215,,,-1,36,-1.3,80,,,,,,3,5,,
RTTT-215,,,-1,36,-1.3,80,,,,,,3,5,,
TWB-320,,,-0.6,24,-1.3,80,,,,,,4,7,,
