型式,クローズ,多軸,MINA,MINB,MAXA,MAXB,歯数,,,,,傾きH,傾きW,,
RNCK-631,Ri,,,,,,,,,,,3,5,,RNCK-631Ri
RNCM-251,,,-0.6,23,-2,85,,,,,,3,5,,RNCM-251
RNCM-251,Ri,,-0.6,23,-2,85,,,,,,3,5,,RNCM-251Ri
RNCM-301,,,-0.6,23,-2,85,,,,,,3,5,,RNCM-301
RNCM-301,Ri,,-0.6,23,-2,85,,,,,,3,5,,RNCM-301Ri
RNCM-401,,,-0.6,23,-2,85,,,,,,3,5,,RNCM-401
RNCM-401,Ri,,-0.6,23,-2,85,,,,,,3,5,,RNCM-401Ri
RNCM-501,,,-0.6,23,-1.5,65,,,,,,3,5,,RNCM-501
RNCM-501,Ri,,-0.6,23,-1.5,65,,,,,,3,5,,RNCM-501Ri
RNCM-631,,,-0.6,23,-1.5,65,,,,,,3,5,,RNCM-631
RNCM-631,Ri,,-0.6,23,-1.5,65,,,,,,3,5,,RNCM-631Ri
RNCV-1001,,,,5,,20,,,,,,3,5,,RNCV-1001
RNCV-1201,,,,5,,20,,,,,,3,5,,RNCV-1201
RNCV-1501,,,,5,,20,,,,,,3,5,,RNCV-1501
RNCV-151,,,-0.6,24,2,85,,,,,,3,5,,RNCV-151
RNCV-201,,,-0.6,23,-2,85,,,,,,3,5,,RNCV-201
RNCV-301,,,-0.6,23,-2,85,,,,,,3,5,,RNCV-301
RNCV-401,,,-0.6,23,-1.75,75,72,1.75,5.498,5.348,300,3,5,,RNCV-401
RNCV-401,Ri,,-0.6,23,-1.75,75,72,1.75,5.498,5.348,300,3,5,,RNCV-401Ri
RNCV-401,RE,,-0.6,23,-1.75,75,72,1.75,5.498,5.348,300,3,5,,RNCV-401RE
RNCV-801,,,,7,,30,,,,,,3,5,,RNCV-801
RNCV-801,Ri,,,,,,,,,,,3,5,,RNCV-801Ri
RNCV-801,RE,,,,,,,,,,,3,5,,RNCV-801RE
RNE-160,,,-0.6,24,-1.3,80,,,,,,4,7,,RNE-160
RNE-200,,,-0.6,24,-1.3,80,,,,,,4,7,,RNE-200
RNE-250,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,250,4,7,,RNE-250
RNE-320,,,-0.6,24,-1.3,80,,,,,,4,7,,RNE-320
RT-1,,,-0.6,23,-2,85,,,,,,3,5,,RT-1
RT-104,,,,7,,30,,,,,,3,5,,RT-104
RT-105,,,-0.6,23,-1.5,65,,,,,,3,5,,RT-105
RT-106,,,-0.6,23,-1.5,65,,,,,,3,5,,RT-106
RT-110,,,-0.6,23,-2,85,,,,,,3,5,,RT-110
RT-113,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-113
RT-120,,,-0.6,23,-2,85,,,,,,3,5,,RT-120
RT-122,,,,,,,,,,,,3,5,,RT-122
RT-124,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-124
RT-126,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-126
RT-129,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-129
RT-132,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-132
RT-133,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-133
RT-135,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-135
RT-137,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-137
RT-138,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-138
RT-146,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-146
RT-147,,,-0.6,23,-1.1,87,,,,,,4,7,,RT-147
RT-148,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-148
RT-149,,,-0.6,23,-2,85,,,,,,3,5,,RT-149
RT-151,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-151
RT-152,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-152
RT-154,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-154
RT-155,,,,,,,,,,,,3,5,,RT-155
RT-156,,,,7,,30,,,,,,3,5,,RT-156
RT-157,,,-0.6,24,-0.625,80,,,,,,3,5,,RT-157
RT-158,,,-0.6,23,-2,85,,,,,,3,5,,RT-158
RT-159,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-159
RT-160,,,-0.4,29,-1.18,82.1,,,,,,3,5,,RT-160
RT-162,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-162
RT-163,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-163
RT-164,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-164
RT-166,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-166
RT-169,,,-0.6,23,-1.75,75,,,,,,3,5,,RT-169
RT-170,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-170
RT-171,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-171
RT-173,,,-0.6,23,-2,85,,,,,,3,5,,RT-173
RT-174,,,-0.6,24,-1.75,85,,,,,,3,5,,RT-174
RT-176,,,-0.6,24,-1.75,85,,,,,,3,5,,RT-176
RT-177,,,,0,,99,,,,,,3,5,,RT-177
RT-178,,,,0,,99,,,,,,3,5,,RT-178
RT-182,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-182
RT-183,,,-0.4,29,-1.18,63.5,,,,,,3,5,,RT-183
RT-184,,,-0.6,23,-2,85,,,,,,3,5,,RT-184
RT-185,,,-0.6,23,-2,85,,,,,,3,5,,RT-185
RT-187,,,-0.6,23,-2,85,,,,,,3,5,,RT-187
RT-188,,,-0.6,23,-2,85,,,,,,3,5,,RT-188
RT-189,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-189
RT-193,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-193
