日時,型式,種別,モード,モーター,制御,軸,Seiban,使用BASIC,出力ファイル,反映,件数
2026/07/03 11:26,,回転,セミ,,F1,A,50010020,F1BASIC.prm,R50010020.prm,1,1
2026/07/03 11:30,RTT-135,回転,セミ,アルファiF2/5000,F1,A,50010001,F1BASIC.prm,R50010001.prm,3,4
2026/07/03 11:30,RTV-500,回転,セミ,DiS110/300,F1,A,50010002,F1BASIC.prm,R50010002.prm,4,4
2026/07/03 11:30,RTT-135,回転,セミ,アルファiF2/5000,F1,A,50010003,F1BASIC.prm,R50010003.prm,3,3
